file,algo,outage,alpha,iter,t_attack,evict_ms,decay1_ms,min_trust,steps,period_ms,n_steps,attack_flag_ms
trial_ZKP_outage2000_ewma7_iter3_1786053960.csv,ZKP,2000,0.7,3,1786053984.8891726,441.88404083251953,441.88404083251953,0.0,30 9 2.7 0.81 0.24 0.07 0.02 0.01 0,342.5200283527374,9,63301.985025405884
trial_ZKP_outage2000_ewma7_iter4_1786060126.csv,ZKP,2000,0.7,4,1786060152.2422843,682.997465133667,682.997465133667,0.0,30 9 2.7 0.81 0.24 0.07 0.02 0.01 0,342.5247371196747,9,63303.1952381134
trial_ZKP_outage2000_ewma7_iter5_1786059405.csv,ZKP,2000,0.7,5,1786059430.5847156,699.7196674346924,699.7196674346924,0.0,30 2.7 0.81 0.24 0.07 0.02 0.01 0,391.50752340044295,8,63299.61705207825
trial_ZKP_outage2000_ewma9_iter1_1786054976.csv,ZKP,2000,0.9,1,1786055003.1798944,593.0209159851074,593.0209159851074,0.0,10 1 0.1 0.01 0,345.00157833099365,5,63312.91222572327
trial_ZKP_outage2000_ewma9_iter2_1786057508.csv,ZKP,2000,0.9,2,1786057533.6916356,472.12767601013184,472.12767601013184,0.0,10 1 0.1 0.01 0,345.28106451034546,5,63293.060541152954
trial_ZKP_outage2000_ewma9_iter3_1786055076.csv,ZKP,2000,0.9,3,1786055101.0011997,581.9623470306396,581.9623470306396,0.0,10 1 0.1 0.01 0,340.01630544662476,5,63301.87487602234
trial_ZKP_outage2000_ewma9_iter4_1786058030.csv,ZKP,2000,0.9,4,1786058055.3452587,483.74319076538086,483.74319076538086,0.0,10 1 0.1 0.01 0,340.00784158706665,5,63304.15391921997
trial_ZKP_outage2000_ewma9_iter5_1786053404.csv,ZKP,2000,0.9,5,1786053429.6345038,449.54633712768555,449.54633712768555,0.0,10 1 0.1 0.01 0,345.1598882675171,5,63289.44230079651
trial_ZKP_outage5000_ewma5_iter1_1786054452.csv,ZKP,5000,0.5,1,1786054477.2465594,844.2034721374512,504.5492649078369,0.0,50 25 12.5 6.25 3.12 1.56 0.78 0.39 0.2 0.1 0.05 0.02 0.01 0,369.22750106224646,14,63304.44002151489
trial_ZKP_outage5000_ewma5_iter2_1786058522.csv,ZKP,5000,0.5,2,1786058547.0632215,769.9048519134521,428.88450622558594,0.0,50 25 6.25 3.12 1.56 0.78 0.39 0.2 0.05 0.02 0.01 0,438.237038525668,12,63309.07130241394
trial_ZKP_outage5000_ewma5_iter3_1786050187.csv,ZKP,5000,0.5,3,1786050213.2633424,771.5744972229004,431.7796230316162,0.0,50 25 12.5 6.25 3.12 1.56 0.78 0.39 0.2 0.1 0.05 0.02 0.01 0,369.22858311579773,14,63311.68723106384
trial_ZKP_outage5000_ewma5_iter4_1786056885.csv,ZKP,5000,0.5,4,1786056910.550944,892.2069072723389,552.2997379302979,0.0,50 25 12.5 6.25 3.12 1.56 0.78 0.39 0.2 0.1 0.05 0.02 0.01 0,370.76218311603253,14,63352.306604385376
trial_ZKP_outage5000_ewma5_iter5_1786053010.csv,ZKP,5000,0.5,5,1786053037.2573698,1041.386604309082,701.51686668396,0.0,50 25 12.5 3.12 1.56 0.78 0.39 0.1 0.05 0.02 0.01 0,467.2519076954235,12,63301.466941833496
trial_ZKP_outage5000_ewma7_iter1_1786059013.csv,ZKP,5000,0.7,1,1786059038.6701443,474.5340347290039,474.5340347290039,0.0,30 9 2.7 0.81 0.24 0.07 0.02 0.01 0,342.36204624176025,9,63313.35425376892
trial_ZKP_outage5000_ewma7_iter2_1786050971.csv,ZKP,5000,0.7,2,1786050998.9619377,630.9638023376465,630.9638023376465,0.0,30 9 2.7 0.81 0.24 0.02 0,459.9984884262085,7,63289.71290588379
trial_ZKP_outage5000_ewma7_iter3_1786054255.csv,ZKP,5000,0.7,3,1786054280.8004081,412.96863555908203,412.96863555908203,0.0,30 9 2.7 0.81 0.24 0.07 0.01 0,394.2903450557164,8,63332.97061920166
trial_ZKP_outage5000_ewma7_iter4_1786058915.csv,ZKP,5000,0.7,4,1786058940.7481353,605.7462692260742,605.7462692260742,0.0,30 9 2.7 0.24 0.07 0.02 0.01 0,391.4550713130406,8,63305.83477020264
trial_ZKP_outage5000_ewma7_iter5_1786059929.csv,ZKP,5000,0.7,5,1786059954.7678275,646.0120677947998,646.0120677947998,0.0,30 9 2.7 0.81 0.24 0.07 0.01 0,394.29078783307756,8,63306.349754333496
trial_ZKP_outage5000_ewma9_iter1_1786058325.csv,ZKP,5000,0.9,1,1786058351.1526728,417.88482666015625,417.88482666015625,0.0,10 1 0.1 0.01 0,345.04246711730957,5,63297.661542892456
trial_ZKP_outage5000_ewma9_iter2_1786055766.csv,ZKP,5000,0.9,2,1786055791.6580818,732.5005531311035,732.5005531311035,0.0,1 0.1 0.01 0,346.64686520894367,4,63292.306423187256
trial_ZKP_outage5000_ewma9_iter3_1786052286.csv,ZKP,5000,0.9,3,1786052311.9780505,415.635347366333,415.635347366333,0.0,10 1 0.1 0.01 0,430.01753091812134,5,63295.58491706848
trial_ZKP_outage5000_ewma9_iter4_1786052188.csv,ZKP,5000,0.9,4,1786052213.9847817,589.465856552124,589.465856552124,0.0,10 1 0.1 0.01 0,344.97708082199097,5,63289.31021690369
trial_ZKP_outage5000_ewma9_iter5_1786060225.csv,ZKP,5000,0.9,5,1786060249.8483403,534.351110458374,534.351110458374,0.0,10 1 0.1 0.01 0,340.00837802886963,5,63314.21375274658
trial_ZKP_outage500_ewma5_iter1_1786048425.csv,ZKP,500,0.5,1,1786048453.289761,999.2742538452148,658.6177349090576,0.0,50 25 12.5 6.25 3.12 1.56 0.78 0.39 0.2 0.1 0.05 0.01 0,399.9963402748108,13,63298.56181144714
trial_ZKP_outage500_ewma5_iter1_1786052581.csv,ZKP,500,0.5,1,1786052608.099296,966.132402420044,625.9663105010986,0.0,50 25 12.5 6.25 0.78 0.39 0.1 0.05 0.02 0.01 0,480.013370513916,11,63305.89818954468
trial_ZKP_outage500_ewma5_iter2_1786051662.csv,ZKP,500,0.5,2,1786051688.3357453,1332.136869430542,1332.136869430542,0.0,12.5 6.25 3.12 0.78 0.39 0.2 0.05 0.02 0.01 0,457.7791425916884,10,63313.257455825806
trial_ZKP_outage500_ewma5_iter3_1786054583.csv,ZKP,500,0.5,3,1786054608.0618968,980.2658557891846,640.3539180755615,0.0,50 25 6.25 3.12 1.56 0.39 0.2 0.1 0.02 0.01 0,512.0060443878174,11,63300.220012664795
trial_ZKP_outage500_ewma5_iter4_1786061173.csv,ZKP,500,0.5,4,1786061198.4363205,1024.925708770752,685.3854656219482,0.0,50 25 12.5 6.25 3.12 0.78 0.39 0.2 0.1 0.05 0.02 0.01 0,428.2922148704529,13,63304.93402481079
trial_ZKP_outage500_ewma5_iter5_1786060551.csv,ZKP,500,0.5,5,1786060577.7772958,940.2716159820557,600.4886627197266,0.0,50 25 12.5 6.25 3.12 0.78 0.39 0.2 0.1 0.02 0.01 0,467.2547687183727,12,63300.195932388306
trial_ZKP_outage500_ewma7_iter1_1786051990.csv,ZKP,500,0.7,1,1786052017.0065236,618.3359622955322,618.3359622955322,0.0,30 9 0.81 0.24 0.07 0.01 0,456.6406011581421,7,63298.49696159363
